Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
Composites Communications,COMPOS COMMUN,2452-2139,2452-2139,材料科学,ELSEVIER SCI LTD,2,Q1,7.7,7.3,7/34,
BME Frontiers,BME FRONT,N/A,2765-8031,医学,AMER ASSOC ADVANCEMENT SCIENCE,2,Q1,7.7,8.0,16/124,
FUEL PROCESSING TECHNOLOGY,FUEL PROCESS TECHNOL,0378-3820,1873-7188,工程技术,ELSEVIER,2,Q1,7.7,7.1,20/175,
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,PUBL ASTRON SOC PAC,0004-6280,1538-3873,物理与天体物理,IOP Publishing Ltd,4,Q1,7.7,6.8,10/84,
Journal of Hazardous Materials Advances,J HAZARD MATER ADV,2772-4166,2772-4166,环境科学与生态学,ELSEVIER,3,Q1,7.7,7.6,41/374,
CRITICAL REVIEWS IN BIOTECHNOLOGY,CRIT REV BIOTECHNOL,0738-8551,1549-7801,生物学,TAYLOR & FRANCIS LTD,2,Q1,7.7,10.1,14/177,
Frontiers of Engineering Management,FRONT ENG MANAG,2095-7513,2096-0255,工程技术,HIGHER EDUCATION PRESS,1,Q1,7.7,5.7,8/69,
ACS Environmental Au,ACS ENVIRON AU,N/A,2694-2518,环境科学与生态学,AMER CHEMICAL SOC,2,Q1,7.7,8.7,41/374,
Progress in Biomedical Engineering,PROG BIOMED ENG,N/A,2516-1091,医学,IOP Publishing Ltd,3,Q1,7.7,7.3,16/124,
Lancet Regional Health-Americas,LANCET REG HEALTH-AM,2667-193X,2667-193X,医学,ELSEVIER,2,Q1,7.6,7.6,8/185,
China Finance Review International,CHINA FINANC REV INT,2044-1398,2044-1401,经济学,EMERALD GROUP PUBLISHING LTD,1,Q1,7.6,5.8,8/241,
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,1619-7070,1619-7089,医学,SPRINGER,1,Q1,7.6,7.9,10/212,
Alzheimers Research & Therapy,ALZHEIMERS RES THER,N/A,1758-9193,医学,BMC,1,Q1,7.6,8.8,17/285,
ORGANIZATIONAL RESEARCH METHODS,ORGAN RES METHODS,1094-4281,1552-7425,管理学,SAGE PUBLICATIONS INC,1,Q1,7.6,14.2,6/115,
BRITISH JOURNAL OF PSYCHIATRY,BRIT J PSYCHIAT,0007-1250,1472-1465,医学,CAMBRIDGE UNIV PRESS,1,Q1,7.6,8.8,11/288,
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,0889-1591,1090-2139,医学,ACADEMIC PRESS INC ELSEVIER SCIENCE,1,Q1,7.6,9.0,11/288,
BIOSCIENCE,BIOSCIENCE,0006-3568,1525-3244,生物学,OXFORD UNIV PRESS,1,Q1,7.6,10.5,4/107,
MOVEMENT DISORDERS,MOVEMENT DISORD,0885-3185,1531-8257,医学,WILEY,1,Q1,7.6,7.8,17/285,
AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,0002-9270,1572-0241,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,7.6,8.9,14/147,
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,环境科学与生态学,WILEY,1,Q1,7.6,11.9,9/200,
PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,1568-7767,1572-980X,生物学,SPRINGER,2,Q1,7.6,9.0,15/273,
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,1873-5142,计算机科学,ELSEVIER SCI LTD,1,Q1,7.6,7.9,33/366,
BMJ Evidence-Based Medicine,BMJ EVID-BASED MED,2515-446X,2515-4478,医学,BMJ PUBLISHING GROUP,2,Q1,7.6,7.2,20/332,
npj Breast Cancer,NPJ BREAST CANCER,N/A,2374-4677,医学,NATURE PORTFOLIO,2,Q1,7.6,7.3,42/326,
Food Engineering Reviews,FOOD ENG REV,1866-7910,1866-7929,农林科学,SPRINGER,2,Q1,7.6,8.9,15/181,
Science China-Information Sciences,SCI CHINA INFORM SCI,1674-733X,1869-1919,计算机科学,SCIENCE PRESS,1,Q1,7.6,6.8,16/258,
Internet of Things,INTERNET THINGS-NETH,2543-1536,2542-6605,计算机科学,ELSEVIER,2,Q1,7.6,7.1,16/258,
International Journal of Consumer Studies,INT J CONSUM STUD,1470-6423,1470-6431,管理学,WILEY,2,Q1,7.6,9.7,28/316,
Energy Conversion and Management-X,ENERG CONVERS MAN-X,2590-1745,2590-1745,工程技术,ELSEVIER,2,Q1,7.6,8.1,6/171,
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,计算机科学,ELSEVIER,1,Q1,7.6,7.6,26/204,
Mucosal Immunology,MUCOSAL IMMUNOL,1933-0219,1935-3456,医学,ELSEVIER SCIENCE INC,2,Q1,7.6,7.8,20/183,
Sensors and Actuators Reports,SENSOR ACTUATOR REP,2666-0539,2666-0539,化学,ELSEVIER,2,Q1,7.6,7.2,3/79,
Bio-Design and Manufacturing,BIO-DES MANUF,2096-5524,2522-8552,医学,SPRINGER HEIDELBERG,1,Q1,7.6,7.8,18/124,
PROGRESS IN CARDIOVASCULAR DISEASES,PROG CARDIOVASC DIS,0033-0620,1873-1740,医学,W B SAUNDERS CO-ELSEVIER INC,2,Q1,7.6,6.9,22/230,
PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,1062-7995,1099-159X,材料科学,WILEY,2,Q1,7.6,6.3,30/187,
BUILDING AND ENVIRONMENT,BUILD ENVIRON,0360-1323,1873-684X,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.6,7.9,9/183,
Green Chemical Engineering,GREEN CHEM ENG,2096-9147,2666-9528,工程技术,KEAI PUBLISHING LTD,2,Q1,7.6,8.1,21/175,
npj Materials Degradation,NPJ MAT DEGRAD,N/A,2397-2106,材料科学,NATURE PORTFOLIO,2,Q1,7.6,7.5,93/460,
Animal Nutrition,ANIM NUTR,2405-6383,2405-6545,农林科学,KEAI PUBLISHING LTD,1,Q1,7.5,7.3,2/170,
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,0022-3050,1468-330X,医学,BMJ PUBLISHING GROUP,1,Q1,7.5,9.6,8/312,
Neurology-Neuroimmunology & Neuroinflammation,NEUROL-NEUROIMMUNOL,2332-7812,2332-7812,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,7.5,7.4,19/285,
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1941-0018,计算机科学,IEEE COMPUTER SOC,2,Q1,7.5,7.1,7/128,
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,INT J ROCK MECH MIN,1365-1609,1873-4545,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.5,8.8,3/65,
Emerging Microbes & Infections,EMERG MICROBES INFEC,N/A,2222-1751,医学,TAYLOR & FRANCIS LTD,1,Q1,7.5,7.2,7/137,
European Journal of Preventive Cardiology,EUR J PREV CARDIOL,2047-4873,2047-4881,医学,OXFORD UNIV PRESS,1,Q1,7.5,7.6,23/230,
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,环境科学与生态学,WILEY,2,Q1,7.5,9.0,10/200,
JHEP Reports,JHEP REP,N/A,2589-5559,医学,ELSEVIER,1,Q1,7.5,8.5,15/147,
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,1674-7348,1869-1927,物理与天体物理,SCIENCE PRESS,1,Q1,7.5,6.0,12/114,
Annual Review of Analytical Chemistry,ANNU REV ANAL CHEM,1936-1327,1936-1335,化学,ANNUAL REVIEWS,2,Q1,7.5,8.9,2/44,
Digital Communications and Networks,DIGIT COMMUN NETW,2468-5925,2352-8648,计算机科学,KEAI PUBLISHING LTD,2,Q1,7.5,6.8,14/120,
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,INT J PROJ MANAG,0263-7863,1873-4634,管理学,ELSEVIER SCI LTD,1,Q1,7.5,8.9,34/420,
INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,0019-8501,1873-2062,管理学,ELSEVIER SCIENCE INC,2,Q1,7.5,9.0,34/420,
Journal of Translational Medicine,J TRANSL MED,N/A,1479-5876,医学,BMC,2,Q1,7.5,7.0,24/195,
BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,0753-3322,1950-6007,医学,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,2,Q1,7.5,7.7,19/352,
GASTROINTESTINAL ENDOSCOPY,GASTROINTEST ENDOSC,0016-5107,1097-6779,医学,MOSBY-ELSEVIER,1,Q1,7.5,7.3,15/147,
CURRENT BIOLOGY,CURR BIOL,0960-9822,1879-0445,生物学,CELL PRESS,1,Q1,7.5,9.3,5/107,
DIABETES,DIABETES,0012-1797,1939-327X,医学,AMER DIABETES ASSOC,2,Q1,7.5,7.2,17/191,
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,计算机科学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.5,7.8,7/106,
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,0253-6269,1976-3786,医学,PHARMACEUTICAL SOC KOREA,2,Q1,7.5,6.7,19/352,
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,INT J RES MARK,0167-8116,1873-8001,管理学,ELSEVIER,2,Q1,7.5,8.5,29/316,
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,0924-0136,1873-4774,工程技术,ELSEVIER SCIENCE SA,1,Q1,7.5,7.1,9/71,
Water Resources and Industry,WATER RESOUR IND,N/A,2212-3717,工程技术,ELSEVIER,3,Q1,7.5,5.9,7/131,
Fuel,FUEL,0016-2361,1873-7153,工程技术,ELSEVIER SCI LTD,2,Q1,7.5,7.1,22/175,
DRUG DISCOVERY TODAY,DRUG DISCOV TODAY,1359-6446,1878-5832,医学,ELSEVIER SCI LTD,2,Q1,7.5,8.1,19/352,
Carbon Resources Conversion,CARBON RES CONVERS,2588-9133,2588-9133,环境科学与生态学,KEAI PUBLISHING LTD,2,Q1,7.5,7.0,22/175,
CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,1369-5266,1879-0356,生物学,CURRENT BIOLOGY LTD,2,Q1,7.5,9.1,16/273,
CURRENT OPINION IN MICROBIOLOGY,CURR OPIN MICROBIOL,1369-5274,1879-0364,生物学,CURRENT BIOLOGY LTD,2,Q1,7.5,8.3,16/163,
CHEMICAL RECORD,CHEM REC,1527-8999,1528-0691,化学,WILEY-V C H VERLAG GMBH,2,Q1,7.5,7.2,42/239,
REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,0034-6543,1935-1046,教育学,SAGE PUBLICATIONS INC,1,Q1,7.4,15.4,9/756,
International Journal of Management Education,INT J MANAG EDUC-OXF,1472-8117,2352-3565,教育学,ELSEVIER SCI LTD,1,Q1,7.4,7.2,9/756,
Journal of Destination Marketing & Management,J DESTIN MARK MANAGE,2212-571X,2212-5752,管理学,ELSEVIER,1,Q1,7.4,9.2,11/139,
Information Processing in Agriculture,INFORM PROCESS AGR,2214-3173,2214-3173,农林科学,ELSEVIER,1,Q1,7.4,N/A,4/94,
Journal of Business Logistics,J BUS LOGIST,0735-3766,2158-1592,管理学,WILEY,2,Q1,7.4,10.6,36/420,
EUROPACE,EUROPACE,1099-5129,1532-2092,医学,OXFORD UNIV PRESS,1,Q1,7.4,6.5,24/230,
Food Science and Human Wellness,FOOD SCI HUM WELL,N/A,2213-4530,农林科学,TSINGHUA UNIV PRESS,1,Q1,7.4,7.8,8/112,
SERVICE INDUSTRIES JOURNAL,SERV IND J,0264-2069,1743-9507,N/A,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",N/A,Q1,7.4,7.4,36/420,
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,1079-5642,1524-4636,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,7.4,8.6,8/98,
Cellular and Molecular Gastroenterology and Hepatology,CELL MOL GASTROENTER,2352-345X,2352-345X,医学,ELSEVIER INC,1,Q1,7.4,8.1,17/147,
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,INT J OPER PROD MAN,0144-3577,1758-6593,管理学,EMERALD GROUP PUBLISHING LTD,2,Q1,7.4,9.6,36/420,
Ecological Indicators,ECOL INDIC,1470-160X,1872-7034,环境科学与生态学,ELSEVIER,1,Q1,7.4,7.2,45/374,
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,1941-7640,1941-7632,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,7.4,7.0,24/230,
CNS DRUGS,CNS DRUGS,1172-7047,1179-1934,医学,ADIS INT LTD,1,Q1,7.4,7.0,14/288,
CLINICAL NUTRITION,CLIN NUTR,0261-5614,1532-1983,医学,CHURCHILL LIVINGSTONE,1,Q1,7.4,7.2,8/112,
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,TUNN UNDERGR SP TECH,0886-7798,1878-4364,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.4,8.0,10/183,
DIABETES RESEARCH AND CLINICAL PRACTICE,DIABETES RES CLIN PR,0168-8227,1872-8227,医学,ELSEVIER IRELAND LTD,3,Q1,7.4,6.0,18/191,
Journal of Building Engineering,J BUILD ENG,N/A,2352-7102,工程技术,ELSEVIER,2,Q1,7.4,7.5,10/183,
POLYMER DEGRADATION AND STABILITY,POLYM DEGRAD STABIL,0141-3910,1873-2321,化学,ELSEVIER SCI LTD,1,Q1,7.4,6.7,7/94,
Energy Research & Social Science,ENERGY RES SOC SCI,2214-6296,2214-6326,经济学,ELSEVIER,2,Q1,7.4,7.9,19/191,
Patterns,PATTERNS,2666-3899,2666-3899,计算机科学,CELL PRESS,2,Q1,7.4,7.7,19/258,
Obesity Reviews,OBES REV,1467-7881,1467-789X,医学,WILEY,2,Q1,7.4,9.6,18/191,
Chemical Science,CHEM SCI,2041-6520,2041-6539,化学,ROYAL SOC CHEMISTRY,1,Q1,7.4,7.8,43/239,
Journal of Translational Internal Medicine,J TRANSL INTERN MED,2450-131X,2224-4018,医学,SCIENDO,2,Q1,7.4,5.3,21/332,
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,1350-6129,1744-2818,医学,TAYLOR & FRANCIS LTD,2,Q1,7.4,6.3,21/332,
REDOX REPORT,REDOX REP,1351-0002,1743-2928,生物学,TAYLOR & FRANCIS LTD,2,Q1,7.4,6.4,37/319,
Science China-Materials,SCI CHINA MATER,2095-8226,2199-4501,材料科学,SCIENCE PRESS,1,Q1,7.4,6.5,96/460,
SPACE SCIENCE REVIEWS,SPACE SCI REV,0038-6308,1572-9672,物理与天体物理,SPRINGER,2,Q1,7.4,10.0,11/84,
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,0956-5515,1572-8145,工程技术,SPRINGER,2,Q1,7.4,7.7,10/71,
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,1568-4539,1573-2908,计算机科学,SPRINGER,3,Q1,7.4,4.9,8/106,
Materials Today Electronics,MATER TODAY ELECTRON,N/A,2772-9494,N/A,ELSEVIER,N/A,Q1,7.4,7.4,31/187,
RIVISTA DEL NUOVO CIMENTO,RIV NUOVO CIMENTO,0393-697X,1826-9850,物理与天体物理,SPRINGERNATURE,2,Q1,7.4,4.8,13/114,
PERSOONIA,PERSOONIA,0031-5850,N/A,生物学,RIJKSHERBARIUM,1,Q1,7.3,11.1,4/32,
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,0045-7825,1879-2138,工程技术,ELSEVIER SCIENCE SA,1,Q1,7.3,7.5,4/136,
Bottom Line,BOTTOM LINE,0888-045X,2054-1724,管理学,EMERALD GROUP PUBLISHING LTD,1,Q1,7.3,6.4,8/166,
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,1058-4838,1537-6591,医学,OXFORD UNIV PRESS INC,2,Q1,7.3,7.2,8/137,
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,环境科学与生态学,ELSEVIER,2,Q1,7.3,7.1,11/200,
European Management Journal,EUR MANAG J,0263-2373,1873-5681,管理学,ELSEVIER SCI LTD,2,Q1,7.3,7.4,41/420,
mAbs,MABS-AUSTIN,1942-0862,1942-0870,医学,TAYLOR & FRANCIS INC,2,Q1,7.3,6.0,27/195,
International Soil and Water Conservation Research,INT SOIL WATER CONSE,2095-6339,2589-059X,农林科学,KEAI PUBLISHING LTD,1,Q1,7.3,8.5,3/48,
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,INT J PHYS DISTR LOG,0960-0035,1758-664X,管理学,EMERALD GROUP PUBLISHING LTD,3,Q1,7.3,8.2,41/420,
ONCOGENE,ONCOGENE,0950-9232,1476-5594,医学,SPRINGERNATURE,1,Q1,7.3,7.4,16/191,
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,1083-4435,1941-014X,工程技术,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,7.3,7.1,8/182,
NEW TECHNOLOGY WORK AND EMPLOYMENT,NEW TECH WORK EMPLOY,0268-1072,1468-005X,管理学,WILEY,2,Q1,7.3,7.2,1/24,
ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,0269-7491,1873-6424,环境科学与生态学,ELSEVIER SCI LTD,2,Q1,7.3,8.1,46/374,
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,0008-1256,2162-8564,管理学,SAGE PUBLICATIONS INC,2,Q1,7.3,15.6,41/420,
PEDOSPHERE,PEDOSPHERE,1002-0160,2210-5107,农林科学,SCIENCE PRESS,2,Q1,7.3,6.2,3/48,
Stem Cell Research & Therapy,STEM CELL RES THER,N/A,1757-6512,医学,BMC,2,Q1,7.3,7.9,3/32,
CHINESE MEDICAL JOURNAL,CHINESE MED J-PEKING,0366-6999,2542-5641,医学,LIPPINCOTT WILLIAMS & WILKINS,2,Q1,7.3,5.9,23/332,
Cell Reports Physical Science,CELL REP PHYS SCI,N/A,2666-3864,N/A,CELL PRESS,N/A,Q1,7.3,8.2,14/114,
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,2168-0485,2168-0485,化学,AMER CHEMICAL SOC,1,Q1,7.3,8.0,24/175,
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,0020-7543,1366-588X,工程技术,TAYLOR & FRANCIS LTD,2,Q1,7.3,8.8,9/106,
PROGRESS IN ORGANIC COATINGS,PROG ORG COAT,0300-9440,1873-331X,材料科学,ELSEVIER SCIENCE SA,2,Q1,7.3,7.0,2/23,
CAAI Transactions on Intelligence Technology,CAAI T INTELL TECHNO,2468-6557,2468-2322,计算机科学,WILEY,1,Q1,7.3,6.4,32/204,
ORGANIZATION & ENVIRONMENT,ORGAN ENVIRON,1086-0266,1552-7417,N/A,SAGE PUBLICATIONS INC,N/A,Q1,7.3,7.5,41/420,
Pulse,PULSE,2235-8676,2235-8668,医学,KARGER,4,Q1,7.3,3.3,9/98,
AMERICAN PSYCHOLOGIST,AM PSYCHOL,0003-066X,1935-990X,心理学,AMER PSYCHOLOGICAL ASSOC,1,Q1,7.2,12.8,10/221,
Current Forestry Reports,CURR FOR REP,2198-6436,2198-6436,农林科学,SPRINGER INT PUBL AG,1,Q1,7.2,11.9,1/92,
Financial Innovation,FINANC INNOV,N/A,2199-4730,经济学,SPRINGER,1,Q1,7.2,7.5,1/68,
Photonics Research,PHOTONICS RES,2327-9125,2327-9125,物理与天体物理,CHINESE LASER PRESS,1,Q1,7.2,7.2,15/125,
JACC-Basic to Translational Science,JACC-BASIC TRANSL SC,2452-302X,2452-302X,医学,ELSEVIER SCIENCE INC,1,Q1,7.2,8.4,26/230,
JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,0027-8874,1460-2105,医学,OXFORD UNIV PRESS INC,1,Q1,7.2,9.3,44/326,
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,IEEE T IND ELECTRON,0278-0046,1557-9948,工程技术,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,7.2,7.8,4/79,
Earth System Dynamics,EARTH SYST DYNAM,2190-4979,2190-4987,地球科学,COPERNICUS GESELLSCHAFT MBH,2,Q1,7.2,7.9,14/258,
PLOS BIOLOGY,PLOS BIOL,1544-9173,1545-7885,生物学,PUBLIC LIBRARY SCIENCE,1,Q1,7.2,7.7,6/107,
IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE T POWER SYST,0885-8950,1558-0679,工程技术,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,7.2,7.9,38/366,
Advanced Optical Materials,ADV OPT MATER,2195-1071,2195-1071,材料科学,WILEY-V C H VERLAG GMBH,2,Q1,7.2,8.2,15/125,
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,0305-0483,1873-5274,管理学,PERGAMON-ELSEVIER SCIENCE LTD,2,Q1,7.2,7.1,10/106,
International Journal of Minerals Metallurgy and Materials,INT J MIN MET MATER,1674-4799,1869-103X,材料科学,SPRINGER,2,Q1,7.2,5.5,8/96,
Cell Chemical Biology,CELL CHEM BIOL,2451-9456,2451-9448,生物学,CELL PRESS,1,Q1,7.2,8.7,40/319,
STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,0143-2095,1097-0266,管理学,WILEY,1,Q1,7.2,11.5,34/316,
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,1556-6072,1556-6080,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,3,Q1,7.2,11.3,38/366,
Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,2040-8021,2040-803X,管理学,EMERALD GROUP PUBLISHING LTD,3,Q1,7.2,7.4,9/241,
Journal of Future Foods,J FUTURE FOODS,N/A,2772-5669,农林科学,KEAI PUBLISHING LTD,1,Q1,7.2,8.1,17/181,
Digital Business,DIGIT BUS,N/A,2666-9544,N/A,ELSEVIER,N/A,Q1,7.2,7.3,34/316,
JOURNAL OF RARE EARTHS,J RARE EARTH,1002-0721,1002-0721,化学,ELSEVIER,1,Q1,7.2,5.7,12/75,
Journal of Environmental Chemical Engineering,J ENVIRON CHEM ENG,2213-2929,2213-3437,工程技术,ELSEVIER SCI LTD,2,Q1,7.2,7.6,25/175,
PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,0079-6816,1878-4240,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.2,8.1,15/79,
Journal of Consumer Sciences,J CONSUM SCI,N/A,0378-5254,N/A,SOUTH AFRICAN ASSOC FAMILY ECOLOGY & CONSUMER SCIENCES-SAAFECS,N/A,Q1,7.2,3.8,5/271,
INTERNATIONAL JOURNAL OF NURSING STUDIES,INT J NURS STUD,0020-7489,1873-491X,医学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.1,8.7,1/192,
ECONOMETRICA,ECONOMETRICA,0012-9682,1468-0262,经济学,WILEY,1,Q1,7.1,8.3,4/167,
Clinical Journal of the American Society of Nephrology,CLIN J AM SOC NEPHRO,1555-9041,1555-905X,医学,AMER SOC NEPHROLOGY,1,Q1,7.1,8.5,9/133,
INTERNATIONAL JOURNAL OF FORECASTING,INT J FORECASTING,0169-2070,1872-8200,N/A,ELSEVIER,N/A,Q1,7.1,7.5,17/617,
Borsa Istanbul Review,BORSA ISTANB REV,2214-8450,2214-8469,经济学,ELSEVIER,2,Q1,7.1,6.3,17/617,
INTERNATIONAL ENDODONTIC JOURNAL,INT ENDOD J,0143-2885,1365-2591,医学,WILEY,1,Q1,7.1,6.1,3/162,
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,0141-0768,1758-1095,医学,SAGE PUBLICATIONS LTD,2,Q1,7.1,12.0,24/332,
Campbell Systematic Reviews,CAMPBELL SYST REV,N/A,1891-1803,社会学,WILEY,3,Q1,7.1,5.8,6/271,
Blood Advances,BLOOD ADV,2473-9529,2473-9537,医学,ELSEVIER,1,Q1,7.1,7.1,13/98,
NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,0893-133X,1740-634X,医学,SPRINGERNATURE,2,Q1,7.1,8.2,15/288,
Deutsches Arzteblatt International,DTSCH ARZTEBL INT,1866-0452,1866-0452,医学,DEUTSCHER AERZTE-VERLAG GMBH,2,Q1,7.1,8.3,24/332,
EUROPEAN JOURNAL OF CANCER,EUR J CANCER,0959-8049,1879-0852,医学,ELSEVIER SCI LTD,1,Q1,7.1,7.5,45/326,
AGING CELL,AGING CELL,1474-9718,1474-9726,医学,WILEY,1,Q1,7.1,8.9,5/73,
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE T VEH TECHNOL,0018-9545,1939-9359,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2,Q1,7.1,7.4,41/366,
Organizational Psychology Review,ORGAN PSYCHOL REV,2041-3866,2041-3874,心理学,SAGE PUBLICATIONS INC,3,Q1,7.1,8.1,7/115,
AGE AND AGEING,AGE AGEING,0002-0729,1468-2834,医学,OXFORD UNIV PRESS,2,Q1,7.1,8.8,5/73,
COMPOSITE STRUCTURES,COMPOS STRUCT,0263-8223,1879-1085,材料科学,ELSEVIER SCI LTD,2,Q1,7.1,6.8,8/171,
SURVEYS IN GEOPHYSICS,SURV GEOPHYS,0169-3298,1573-0956,地球科学,SPRINGER,2,Q1,7.1,7.6,5/100,
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,2352-1864,2352-1864,环境科学与生态学,ELSEVIER,2,Q1,7.1,7.1,16/177,
ENERGY AND BUILDINGS,ENERG BUILDINGS,0378-7788,1872-6178,工程技术,ELSEVIER SCIENCE SA,2,Q1,7.1,7.3,12/183,
Journal of Genetics and Genomics,J GENET GENOMICS,1673-8527,1873-5533,生物学,SCIENCE PRESS,1,Q1,7.1,6.4,17/191,
Waste Management,WASTE MANAGE,0956-053X,1879-2456,环境科学与生态学,PERGAMON-ELSEVIER SCIENCE LTD,2,Q1,7.1,8.0,48/374,
International Journal of Geo-Engineering,INT J GEO-ENG,2092-9196,2198-2783,工程技术,SPRINGER SINGAPORE PTE LTD,3,Q1,7.1,4.1,4/65,
Chip,CHIP-PRC,2709-4723,2772-2724,N/A,ELSEVIER,N/A,Q1,7.1,7.1,41/366,
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,1070-9932,1558-223X,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,3,Q1,7.1,7.3,6/48,
Progress in Natural Science-Materials International,PROG NAT SCI-MATER,1002-0071,1745-5391,材料科学,ELSEVIER SCIENCE INC,3,Q1,7.1,5.7,101/460,
Acta Ecologica Sinica,ACTA ECOL SINICA,1872-2032,1872-2032,N/A,ELSEVIER,N/A,Q1,7.1,11.5,12/200,
Chemical Engineering Journal Advances,CHEM ENG J ADV,2666-8211,2666-8211,工程技术,ELSEVIER,3,Q1,7.1,6.9,26/175,
FERTILITY AND STERILITY,FERTIL STERIL,0015-0282,1556-5653,医学,ELSEVIER SCIENCE INC,1,Q1,7.0,7.1,5/140,
